謗(bàng): 毁谤; 字数: 2
謘(chí): 说话迟钝; 字数: 4
謙(qiān): 谦虚；谦让; 字数: 4
謚(shì): 古代帝王、贵族、大臣等死后依其一生所行事迹给予的称号; 字数: 24
謚(yì): 笑貌; 字数: 2
謚(xì): 笑声; 字数: 2
講(jiǎng): 和解; 字数: 2
謜(yuán): 和缓地说话; 字数: 5
謜(quán): 言语和悦; 字数: 4
謝(xiè): 辞去官职; 字数: 4
謞(hè): 谗慝; 字数: 2
謟(tāo): 可疑; 字数: 2
謡(yáo): 不用乐器伴奏的歌唱; 字数: 9
謣(yú): 虚夸; 字数: 2
謣(xū): 〔謣輿〕也作“輿謣”; 字数: 6
謤(biāo): 言有所止; 字数: 4
謤(piāo): 言轻; 字数: 2
謦(qǐng): 〔謦欬〕1.咳嗽; 字数: 4
謧(lí): 〔謧詍〕多言; 字数: 4
謨(mó): 计策；谋划; 字数: 4
謫(zhé): 谴责；责备; 字数: 4
謫(zé): 怒斥; 字数: 2
謬(miù): 谬误；荒谬; 字数: 4
謮(zé): 怒; 字数: 1
謯(jiē): 〔謯娽〕1.古语，义未详; 字数: 7
謯(zhā): 〔謯娽〕尖声; 字数: 4
謯(zhǎ): 〔謯訝〕也作“𧨊𧧝”; 字数: 6
謰(lián): 〔謰謱〕也作“謱謰”; 字数: 6
謱(lóu): 〔謰謱〕见“謰”; 字数: 4
謱(lǚ): 〔覼謱〕也作“覼縷”; 字数: 6
謲(càn): 相怒; 字数: 2
謲(sān): 〔謲譚〕怒语; 字数: 4
謲(chěn): 阴言讥之; 字数: 4
謳(ōu): 齐声歌唱; 字数: 4
謳(xū): 煦; 字数: 1
謴(gùn): 顺言; 字数: 2
謵(xí): 用言辞使惧怕; 字数: 6
謵(chè): 小语; 字数: 2
謶(zhuó): 谪; 字数: 1
謶(zhē): 〔囉謶〕也作“囉嗻”; 字数: 6
謷(áo): 不省人言; 字数: 4
謷(ào): 高大貌; 字数: 3
謹(jǐn): 慎重；小心; 字数: 4
謺(zhé): 〔謺讘〕多言; 字数: 4
謻(yí): 门名; 字数: 2
謼(hū): 大声叫号; 字数: 4
謾(mán): 欺骗; 字数: 2
謾(màn): 冗长，繁多; 字数: 4
譀(hàn): 说大话; 字数: 3
譀(xiàn): 〔譀𧭡〕也作“譀䜕”; 字数: 6
譁(huá): 《集韻》胡瓜切; 字数: 5
譁(wá): 变化; 字数: 2
譂(chán): 妄言; 字数: 2
譄(zēng): 言辞夸大; 字数: 4
譅(sè): 言甚多; 字数: 3
譆(xī): 叹词; 字数: 2
譇(zhā): 〔譇拏〕也作“譇詉”; 字数: 6
證(zhèng): 告发; 字数: 2
譊(náo): 〔譊譊〕争辩声；喧噪声; 字数: 8
譎(jué): 欺诳；诡诈; 字数: 4
譏(jī): 讥刺；谴责; 字数: 4
譑(jiǎo): 多言; 字数: 2
譑(qiào): 弄言; 字数: 2
譒(bò): 谣; 字数: 1
譓(huì): 多谋智; 字数: 3
譔(zhuàn): 专心教导; 字数: 4
譔(quán): 善言; 字数: 2
譕(wú): 诱词; 字数: 2
譖(zèn): 说坏话诬陷别人; 字数: 7
譗(譗zhá): 〔譗𧫡〕言语无条理; 字数: 7
識(zhì): 旗帜; 字数: 2
識(shí): 知道; 字数: 2
譙(qiáo): 城门上的望楼; 字数: 6
譚(tán): 宏大；广大; 字数: 4
譜(pǔ): 按事物的类别或系统编成的书籍; 字数: 14
譝(譝shéng): 赞誉; 字数: 2
譟(zào): 欢呼; 字数: 2
譠(譠tán): 欺; 字数: 1
譣(xiǎn): 问; 字数: 1
譥(jiào): 揭发别人的阴私; 字数: 7
警(jǐng): 告诫; 字数: 2
譧(lián): 〔譧䛁〕言不正; 字数: 5
譨(nóu): 〔譨譨〕多言; 字数: 4
譩(yī): 应答; 字数: 2
譫(zhān): 话多; 字数: 2
譬(pì): 用打比方的方法说明事理，使容易明白; 字数: 16
譮(huà): 气高貌; 字数: 3
譮(xiè): 怒声; 字数: 2
譮(huì): 悟; 字数: 1
譯(yì): 翻译，把一种语言文字转换成另一种语言文字; 字数: 19
議(yì): 言谈；谈论; 字数: 4
譳(譳nòu): 〔䛠譳〕见“䛠”; 字数: 4
譴(qiǎn): 责问；谴责; 字数: 4
譶(tà): 说话快；说话不停; 字数: 7
護(hù): 监视；监督; 字数: 4
譸(zhōu): 〔譸張〕也作“侜張”; 字数: 6
譺(ài): 说话不流畅; 字数: 5
譺(yǐ): 议; 字数: 1
譺(yí): 肃静貌; 字数: 3
譽(yù): 称颂；赞美; 字数: 4
譾(譾jiǎn): 浅薄; 字数: 2
讀(dú): 诵读、理解书的意义; 字数: 8
讀(dòu): 句中的短暂停顿; 字数: 7
讄(lěi): 古人行善积德，以求神降福; 字数: 11
讆(wèi): 吹捧坏人; 字数: 4
讇(chǎn): 说梦话; 字数: 3
讈(讈lì): 〔䜍讈〕见“䜍”; 字数: 4
讉(yí): 译恶言; 字数: 3
讉(tuī): 欺; 字数: 1
變(biàn): 改变；变化; 字数: 4
讋(zhé): 丧胆；惧怕; 字数: 4
讌(yàn): 相聚叙谈; 字数: 4
讎(chóu): 对答; 字数: 2
讑(yào): 谬误; 字数: 2
讒(chán): 说别人的坏话; 字数: 6
讓(ràng): 责备; 字数: 2
讔(yǐn): 隐语; 字数: 2
讕(lán): 抵赖; 字数: 2
讖(chèn): 谈论预言、征验的书籍; 字数: 9
讗(xié): 言壮貌；自夸; 字数: 5
讘(niè): 多言; 字数: 2
讙(huān): 喧哗; 字数: 2
讚(zàn): 赞美；颂扬; 字数: 4
讛(yì): 屏处语; 字数: 3
讜(dǎng): 正直的（言论）; 字数: 5
讜(dàng): 说话中理; 字数: 4
讝(讝zhān): 病中或梦中呓语; 字数: 7
讞(yàn): 审判定罪; 字数: 4
讟(dú): 怨恨; 字数: 2
𣌚(chūn): 《搜真玉鏡》：“𣌚，音春; 字数: 7
𧥛(⁴𧥛qiǎn): 〔𧥛𧥜〕唇急貌; 字数: 5
𧥜(𧥜yǎn): 〔𧥛𧥜〕见“𧥛”; 字数: 4
𧥟(𧥟mò): 《字彙補·言部》：“𧥟，木泊切，音莫; 字数: 12
𧥣(kòu): 笑; 字数: 1
𧥤(xī): 笑声; 字数: 2
𧥮(hù): 记; 字数: 1
𧥴(𧥴yàng): 止; 字数: 1
𧥵(𧥵guò): 迟; 字数: 1
𧥸(𧥸yìn): 怒言; 字数: 2
𧥹(⁴𧥹fēng): 语耑; 字数: 2
𧥺(jùn): 欺骗; 字数: 2
𧥼(𧥼yún): 〔訜𧥼〕言语不定; 字数: 6
𧥿(xùn): 人名用字; 字数: 4
𧦎(𧦎xiā): 《搜真玉鏡》：“𧦎，音蝦; 字数: 7
𧦑(𧦑háng): 《搜真玉鏡》：“𧦑，胡浪切; 字数: 8
𧦚(hù): 记; 字数: 1
𧦝(hū): 呼唤; 字数: 2
𧦝(hào): 《博雅》乎報切; 字数: 5
