偲(sī): 〔偲偲〕相互劝勉督责; 字数: 8
偳(偳duān): 〔仯偳〕小; 字数: 3
側(cè): 旁边; 字数: 2
側(zè): 狭窄; 字数: 2
側(zhāi): 方言; 字数: 2
偵(zhēn（旧读zhēng）): 探听；暗中察看; 字数: 6
偶(ǒu): 泥塑或木雕的人像; 字数: 8
偷(ōu): 苟且；怠惰; 字数: 4
偽(wěi): 欺诈；假装; 字数: 4
偽(é): 船动摇貌; 字数: 4
傀(guī): 魁伟；高大; 字数: 4
傀(kuǐ): 〔傀儡〕木偶戏; 字数: 5
傂(zhì): 〔偨傂〕见“偨”; 字数: 4
傂(sī): 〔傂祁〕古地名; 字数: 5
傃(sù): 向; 字数: 1
傄(傄xiā): 〔㑻傄〕见“㑻”; 字数: 4
傅(fù): 辅佐，辅助; 字数: 4
傆(yuàn): 圆滑；随和; 字数: 4
傆(yuán): 怒; 字数: 1
傇(傇rǒng): 众; 字数: 1
傈(lì): 古代制作庙堂神主所用的木材; 字数: 13
傉(傉nù): 姓名用字; 字数: 4
傉(傉nù): 愁惋; 字数: 2
傉(傉nù): 姓名用字; 字数: 4
傊(傊yùn): 优; 字数: 1
傋(jiǎng): 〔傋𠈵〕也作“𠈵傋”; 字数: 6
傋(gòu): 〔傋𠊮〕愚昧无知; 字数: 6
傌(mà): *汉*代刑罚之一; 字数: 8
傌(mǎ): 我国象棋棋子名，红方的“馬”也写作“傌”; 字数: 15
傍(bàng): 靠近；临近; 字数: 4
傍(páng): *唐*代州名，在今*云南省**楚雄彝族自治州**双柏县*境; 字数: 28
傍(bēng): 〔傍傍〕无休止; 字数: 5
傏(傏táng): 〔傏𠊲〕也作“唐突”; 字数: 6
傐(hào): 地名; 字数: 2
傑(jié): 特异；超出一般; 字数: 6
傑(jié): 负持貌; 字数: 3
傑(jié): 特异；超出一般; 字数: 6
傒(xī): 我国古代少数民族名; 字数: 9
